time_stamp,pm2.5_atm,pm10.0_atm,SensorID
2025-03-01T00:00:00Z,9,11,102924
2025-04-01T00:00:00Z,10.8,13.1,102924
2025-05-01T00:00:00Z,13,15.7,102924
2025-06-01T00:00:00Z,17.4,20.4,102924
2025-07-01T00:00:00Z,15.1,17.1,102924
2025-08-01T00:00:00Z,17,19.7,102924
2025-09-01T00:00:00Z,13.3,15.4,102924
2025-10-01T00:00:00Z,13.6,16,102924
2025-02-01T00:00:00Z,17.8,20.5,103030
2025-03-01T00:00:00Z,8.3,9.5,103030
2025-04-01T00:00:00Z,8.7,9.8,103030
2025-05-01T00:00:00Z,10.9,12.4,103030
2025-06-01T00:00:00Z,14.4,15.8,103030
2025-07-01T00:00:00Z,12,12.9,103030
2025-08-01T00:00:00Z,14.8,16.1,103030
2025-09-01T00:00:00Z,11.9,13.2,103030
2025-10-01T00:00:00Z,13.7,15.4,103030
2025-02-01T00:00:00Z,16.9,22.5,103032
2025-03-01T00:00:00Z,8.7,12.1,103032
2025-07-01T00:00:00Z,15.3,20.5,103032
2025-08-01T00:00:00Z,15,19.2,103032
2025-09-01T00:00:00Z,12.1,15.8,103032
2025-10-01T00:00:00Z,13.5,17.9,103032
2025-02-01T00:00:00Z,17.5,21.7,103060
2025-03-01T00:00:00Z,8.2,10.5,103060
2025-04-01T00:00:00Z,7.9,9.9,103060
2025-05-01T00:00:00Z,9.6,12.1,103060
2025-06-01T00:00:00Z,12.2,14.6,103060
2025-07-01T00:00:00Z,10.2,11.7,103060
2025-08-01T00:00:00Z,13.2,15.4,103060
2025-09-01T00:00:00Z,10.7,12.7,103060
2025-10-01T00:00:00Z,12,14.4,103060
2025-02-01T00:00:00Z,16.4,19.4,103120
2025-03-01T00:00:00Z,7.9,9.7,103120
2025-04-01T00:00:00Z,7.8,9.2,103120
2025-05-01T00:00:00Z,10.4,12.3,103120
2025-06-01T00:00:00Z,13.3,15.1,103120
2025-07-01T00:00:00Z,11.1,12.1,103120
2025-08-01T00:00:00Z,14.5,16.2,103120
2025-09-01T00:00:00Z,11.4,13,103120
2025-10-01T00:00:00Z,12.5,14.2,103120
2025-08-01T00:00:00Z,8.3,9.4,103272
2025-02-01T00:00:00Z,14.9,17.2,103274
2025-03-01T00:00:00Z,1.5,2.4,103274
2025-04-01T00:00:00Z,7.6,8.7,103274
2025-05-01T00:00:00Z,8.9,10.1,103274
2025-06-01T00:00:00Z,9.2,10,103274
2025-07-01T00:00:00Z,11.2,12.2,103274
2025-08-01T00:00:00Z,14.3,15.6,103274
2025-09-01T00:00:00Z,10.3,11.3,103274
2025-10-01T00:00:00Z,14.6,16.2,103274
2025-02-01T00:00:00Z,16.8,20.6,103292
2025-03-01T00:00:00Z,7.6,9.6,103292
2025-04-01T00:00:00Z,8.2,10.1,103292
2025-05-01T00:00:00Z,586.1,588,103292
2025-06-01T00:00:00Z,1672.8,1673.7,103292
2025-07-01T00:00:00Z,217.2,218.6,103292
2025-08-01T00:00:00Z,13.4,15.7,103292
2025-09-01T00:00:00Z,10.9,13,103292
2025-10-01T00:00:00Z,12.1,14.6,103292
2025-02-01T00:00:00Z,2737.9,2737.9,103960
2025-03-01T00:00:00Z,2805.3,2805.3,103960
2025-04-01T00:00:00Z,2770.4,2770.4,103960
2025-05-01T00:00:00Z,2837.8,2837.8,103960
2025-06-01T00:00:00Z,2912.6,2912.6,103960
2025-07-01T00:00:00Z,2933.7,2933.7,103960
2025-08-01T00:00:00Z,3043.1,3043.1,103960
2025-09-01T00:00:00Z,3018.4,3018.4,103960
2025-10-01T00:00:00Z,2908.4,2908.4,103960
2025-03-01T00:00:00Z,0,0,10398
2025-02-01T00:00:00Z,7.1,8.6,103992
2025-03-01T00:00:00Z,6.2,7.4,103992
2025-04-01T00:00:00Z,6.8,8,103992
2025-05-01T00:00:00Z,5.9,6.9,103992
2025-06-01T00:00:00Z,5.5,6.3,103992
2025-07-01T00:00:00Z,8.1,9,103992
2025-08-01T00:00:00Z,12.9,15.1,103992
